iter	Passed	Remaining
0	1	143
1	2	120
2	3	112
3	4	102
4	5	107
5	6	105
6	7	103
7	8	103
8	10	102
9	11	100
10	12	99
11	13	97
12	14	96
13	15	94
14	16	93
15	17	92
16	18	91
17	19	90
18	20	88
19	21	87
20	22	85
21	23	84
22	24	82
23	25	81
24	26	80
25	27	78
26	28	77
27	29	76
28	30	74
29	31	73
30	32	72
31	33	71
32	34	70
33	35	69
34	36	68
35	37	67
36	38	66
37	39	65
38	40	63
39	41	62
40	42	61
41	43	59
42	44	58
43	45	57
44	47	57
45	48	56
46	49	55
47	50	54
48	51	53
49	52	52
50	53	51
51	54	50
52	55	49
53	57	48
54	57	47
55	58	46
56	59	45
57	61	44
58	62	43
59	63	42
60	65	41
61	66	40
62	67	39
63	68	38
64	69	37
65	70	36
66	71	35
67	72	34
68	74	33
69	75	32
70	76	31
71	77	30
72	79	29
73	80	28
74	81	27
75	82	25
76	83	24
77	84	23
78	85	22
79	87	21
80	88	20
81	89	19
82	90	18
83	91	17
84	92	16
85	93	15
86	94	14
87	95	13
88	96	11
89	98	10
90	99	9
91	100	8
92	102	7
93	103	6
94	104	5
95	106	4
96	107	3
97	108	2
98	109	1
99	110	0
