iter	Passed	Remaining
0	151	151098
1	152	76002
2	153	51008
3	154	38495
4	155	30942
5	156	25905
6	157	22334
7	158	19632
8	159	17540
9	160	15858
10	161	14478
11	163	13425
12	164	12485
13	165	11647
14	166	10928
15	167	10313
16	168	9751
17	169	9255
18	170	8812
19	171	8416
20	173	8083
21	175	7780
22	178	7566
23	179	7307
24	180	7048
25	181	6807
26	182	6583
27	183	6372
28	184	6177
29	185	5995
30	186	5825
31	187	5661
32	187	5507
33	188	5361
34	189	5223
35	190	5092
36	191	4985
37	192	4871
38	193	4770
39	194	4663
40	195	4563
41	196	4472
42	197	4385
43	197	4298
44	198	4215
45	199	4135
46	200	4060
47	201	3989
48	202	3921
49	202	3853
50	203	3787
51	204	3725
52	205	3673
53	207	3627
54	208	3583
55	209	3534
56	210	3483
57	211	3435
58	212	3387
59	213	3339
60	214	3294
61	214	3252
62	215	3208
63	216	3168
64	217	3129
65	218	3089
66	219	3050
67	219	3013
68	221	2985
69	222	2950
70	223	2920
71	224	2887
72	224	2854
73	225	2822
74	226	2793
75	227	2763
76	228	2734
77	229	2707
78	229	2680
79	230	2653
80	231	2625
81	232	2599
82	232	2569
83	233	2544
84	234	2520
85	234	2496
86	235	2476
87	236	2453
88	237	2433
89	238	2412
90	239	2389
91	240	2369
92	240	2348
93	241	2328
94	242	2310
95	243	2291
96	244	2272
97	244	2254
98	245	2236
99	246	2218
100	247	2200
101	248	2183
102	248	2166
103	249	2151
104	250	2137
105	251	2123
106	252	2110
107	253	2095
108	254	2080
109	255	2065
110	256	2052
111	257	2038
112	257	2024
113	258	2009
114	259	1995
115	260	1982
116	260	1968
117	261	1954
118	262	1941
119	262	1928
120	263	1915
121	264	1902
122	265	1891
123	266	1881
124	267	1870
125	268	1860
126	268	1848
127	269	1836
128	270	1826
129	271	1816
130	272	1806
131	273	1795
132	273	1785
133	274	1774
134	275	1765
135	276	1755
136	277	1746
137	278	1736
138	278	1727
139	279	1718
140	280	1709
141	281	1700
142	282	1692
143	283	1685
144	284	1677
145	285	1668
146	285	1659
147	286	1651
148	287	1643
149	288	1636
150	289	1630
151	290	1622
152	291	1614
153	292	1606
154	293	1599
155	294	1591
156	294	1583
157	295	1576
158	296	1570
159	297	1562
160	298	1554
161	299	1547
162	299	1540
163	300	1533
164	301	1526
165	302	1521
166	303	1514
167	304	1507
168	305	1500
169	306	1495
170	307	1488
171	308	1483
172	309	1478
173	309	1471
174	311	1467
175	312	1461
176	313	1457
177	315	1455
178	317	1454
179	318	1453
180	320	1450
181	322	1450
182	323	1444
183	324	1438
184	325	1432
185	325	1426
186	326	1421
187	327	1415
188	329	1411
